reflector_ip,ip_version,description,country_code,country_name,region,sub_region
222.234.220.47,4,jnilbo.com,KR,Korea, Republic of,Asia,Eastern Asia
133.186.250.123,4,jooyonshop.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
222.234.220.38,4,journalist.or.kr,KR,Korea, Republic of,Asia,Eastern Asia
45.135.118.161,4,jungeseo.com,KR,Korea, Republic of,Asia,Eastern Asia
110.10.168.180,4,kakinter.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
203.238.178.245,4,kangnampride.com,KR,Korea, Republic of,Asia,Eastern Asia
211.45.37.180,4,kcar.com,KR,Korea, Republic of,Asia,Eastern Asia
133.186.213.235,4,kdx.kr,KR,Korea, Republic of,Asia,Eastern Asia
115.85.178.169,4,kedglobal.com,KR,Korea, Republic of,Asia,Eastern Asia
61.97.176.143,4,kedglobal.com,KR,Korea, Republic of,Asia,Eastern Asia
221.139.49.8,4,kfmejn.com,KR,Korea, Republic of,Asia,Eastern Asia
1.201.168.13,4,kinx.net,KR,Korea, Republic of,Asia,Eastern Asia
222.235.64.19,4,kmclubb2b.com,KR,Korea, Republic of,Asia,Eastern Asia
168.126.63.1,4,Korea Telecom,KR,Korea, Republic of,Asia,Eastern Asia
139.150.249.4,4,korea.net,KR,Korea, Republic of,Asia,Eastern Asia
139.150.249.134,4,korea.net,KR,Korea, Republic of,Asia,Eastern Asia
139.150.252.17,4,korea.net,KR,Korea, Republic of,Asia,Eastern Asia
139.150.252.137,4,korea.net,KR,Korea, Republic of,Asia,Eastern Asia
121.78.33.166,4,korea.net,KR,Korea, Republic of,Asia,Eastern Asia
121.78.33.186,4,korea.net,KR,Korea, Republic of,Asia,Eastern Asia
222.98.107.155,4,koree.kr,KR,Korea, Republic of,Asia,Eastern Asia
210.96.79.22,4,koroad.or.kr,KR,Korea, Republic of,Asia,Eastern Asia
1.234.46.26,4,ksidc.net,KR,Korea, Republic of,Asia,Eastern Asia
210.127.209.47,4,ksnve.or.kr,KR,Korea, Republic of,Asia,Eastern Asia
202.31.187.204,4,l2one.com,KR,Korea, Republic of,Asia,Eastern Asia
121.254.134.99,4,LG DACOM Corporation,KR,Korea, Republic of,Asia,Eastern Asia
13.124.246.72,4,liveconnect.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
52.79.159.147,4,liveconnect.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
124.243.74.18,4,lotteglogis.com,KR,Korea, Republic of,Asia,Eastern Asia
124.243.26.39,4,lottehotelmagazine.com,KR,Korea, Republic of,Asia,Eastern Asia
101.33.78.107,4,ly-printingmachinery.com,KR,Korea, Republic of,Asia,Eastern Asia
121.78.251.8,4,malltail.com,KR,Korea, Republic of,Asia,Eastern Asia
121.254.134.116,4,mbc.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
115.68.106.111,4,mojelim.com,KR,Korea, Republic of,Asia,Eastern Asia
34.64.216.180,4,myhairhunter.com,KR,Korea, Republic of,Asia,Eastern Asia
115.68.222.156,4,newsen.com,KR,Korea, Republic of,Asia,Eastern Asia
115.68.221.213,4,newsen.com,KR,Korea, Republic of,Asia,Eastern Asia
115.68.222.134,4,newsen.com,KR,Korea, Republic of,Asia,Eastern Asia
121.78.144.197,4,newspower.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
121.254.217.81,4,newswire.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
49.247.213.44,4,note22.kr,KR,Korea, Republic of,Asia,Eastern Asia
61.97.177.192,4,oasis.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
163.171.209.222,4,oddsshark.com,KR,Korea, Republic of,Asia,Eastern Asia
