reflector_ip,ip_version,description,country_code,country_name,region,sub_region
61.218.179.183,4,market-prospects.com,TW,Taiwan, Province of China,Asia,Eastern Asia
203.66.161.178,4,mio.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.201.234.200,4,mobile01.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.221.236.242,4,mumushop.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
114.32.254.20,4,myav.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
223.27.33.85,4,nav123.net,TW,Taiwan, Province of China,Asia,Eastern Asia
210.61.40.165,4,netvox.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
113.196.55.130,4,New Century InfoComm Tech Co. Ltd.,TW,Taiwan, Province of China,Asia,Eastern Asia
60.249.45.213,4,newenergy.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
140.118.31.99,4,ntust.edu.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.209.55,4,onead.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
123.195.238.110,4,Ookla Speedtest server: ct-sptest.kbro.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
118.232.76.110,4,Ookla Speedtest server: fm-sptest.kbro.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
118.232.78.110,4,Ookla Speedtest server: ks-sptest.kbro.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
118.232.77.110,4,Ookla Speedtest server: nt-sptest.kbro.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
123.195.236.110,4,Ookla Speedtest server: ntp-sptest.kbro.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
60.199.206.252,4,Ookla Speedtest server: speedtest.anet.net.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
211.77.43.1,4,Ookla Speedtest server: spt1.seed.net.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
211.77.43.4,4,Ookla Speedtest server: spthc1.seed.net.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
211.77.43.10,4,Ookla Speedtest server: sptpt1.seed.net.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
211.77.43.8,4,Ookla Speedtest server: spttn1.seed.net.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
118.163.60.153,4,orbitek.co,TW,Taiwan, Province of China,Asia,Eastern Asia
34.81.161.109,4,partipost.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.221.12.58,4,pl3c.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
103.118.27.95,4,playjoylube.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.201.141.82,4,playworld.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
34.81.209.242,4,pmtone.com,TW,Taiwan, Province of China,Asia,Eastern Asia
59.120.118.168,4,ppt.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
103.118.24.39,4,prolux.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
140.112.172.5,4,ptt.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
140.112.172.11,4,ptt.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
140.112.172.1,4,ptt.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
140.112.172.2,4,ptt.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
140.112.172.3,4,ptt.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
140.112.172.4,4,ptt.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.187.107,4,qmaxtest.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.185.130.121,4,reurl.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.238.199,4,riotec.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
113.196.231.224,4,rootfocus.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
202.55.233.140,4,rti.org.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
130.211.255.226,4,sakraworldhospital.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.194.229.175,4,seasongroup.com,TW,Taiwan, Province of China,Asia,Eastern Asia
60.245.57.169,4,seemoon.biz,TW,Taiwan, Province of China,Asia,Eastern Asia
192.99.220.43,4,seobacklinksites.com,TW,Taiwan, Province of China,Asia,Eastern Asia
211.20.119.31,4,serverfield.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.203.153,4,sharecourse.net,TW,Taiwan, Province of China,Asia,Eastern Asia
61.218.179.155,4,shinemed.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
220.130.107.8,4,sinya.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.4.196,4,sleekr.co,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.207.58,4,socialwire.net,TW,Taiwan, Province of China,Asia,Eastern Asia
35.221.244.252,4,steachs.com,TW,Taiwan, Province of China,Asia,Eastern Asia
163.16.5.180,4,study-area.org,TW,Taiwan, Province of China,Asia,Eastern Asia
122.146.16.36,4,suncolor.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
118.163.15.107,4,sungta.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
35.194.180.219,4,taipeifun.com,TW,Taiwan, Province of China,Asia,Eastern Asia
101.101.101.101,4,Taiwan Network Information Center,TW,Taiwan, Province of China,Asia,Eastern Asia
101.102.103.104,4,Taiwan Network Information Center,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.22.202,4,talentxo.com,TW,Taiwan, Province of China,Asia,Eastern Asia
103.17.10.38,4,taodining.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.155.217.104,4,tendrum.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.88.101,4,theinterface.asia,TW,Taiwan, Province of China,Asia,Eastern Asia
60.248.200.202,4,tmnewa.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
203.74.151.31,4,top1game.com,TW,Taiwan, Province of China,Asia,Eastern Asia
210.58.98.151,4,tw560.com,TW,Taiwan, Province of China,Asia,Eastern Asia
113.196.154.133,4,tyan.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.229.131.21,4,universal88.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.236.155.166,4,uspace.city,TW,Taiwan, Province of China,Asia,Eastern Asia
60.199.171.6,4,ut-232.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.218.179.156,4,valtec.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
104.199.136.236,4,vigattintrade.com,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.64.223,4,vuclip.com,TW,Taiwan, Province of China,Asia,Eastern Asia
219.84.202.209,4,wakool.net,TW,Taiwan, Province of China,Asia,Eastern Asia
34.81.65.149,4,wenti.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
59.124.114.85,4,wonder.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
125.227.192.241,4,worldgymtaiwan.com,TW,Taiwan, Province of China,Asia,Eastern Asia
211.75.205.133,4,worldgymtaiwan.com,TW,Taiwan, Province of China,Asia,Eastern Asia
202.39.255.1,4,yangming.com,TW,Taiwan, Province of China,Asia,Eastern Asia
61.221.12.28,4,yczball.com,TW,Taiwan, Province of China,Asia,Eastern Asia
34.80.94.99,4,yes319.com,TW,Taiwan, Province of China,Asia,Eastern Asia
35.201.160.212,4,youtils.cc,TW,Taiwan, Province of China,Asia,Eastern Asia
223.27.33.82,4,zhupiter.com,TW,Taiwan, Province of China,Asia,Eastern Asia
103.17.8.51,4,ziqiang-dental.com.tw,TW,Taiwan, Province of China,Asia,Eastern Asia
